stock,date,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,cap,size
a,12-18-2020,S&P 500,50.99,2.30,0.40%,309.00M,0.02%,36.02B,28.29,4.15,-15.92%,304.40M,0.42%,719.00M,5.48,0.89,90.10%,1.06%,16.30%,5.34B,6.75,-31.60%,-1.02%,2.08,33.23%,15.77,7.44,12.56%,7.50%,121.94,37.60%,4.70,24.99,9.30%,14.80%,61.13 - 120.24,37.60%,0.78,62.10,12.00%,10.00%,-2.21%,1.06,0.66%,1.80,5.70%,53.10%,92.34%,2.43,16400,2.30,8.50%,15.80%,57.99,1.57% 1.87%,Yes,0.48,14.40%,13.50%,0.45,117.39,Yes,0.47,Nov 23 AMC,30.30%,1.55M,117.58,2.20,0.48%,4.82%,23.78%,"349,380",0.16%,large,36020000000.0
aa,12-18-2020,-,-,-2.53,0.20%,186.00M,6.20%,4.32B,30.81,0.75,-0.13%,184.84M,15.33%,-469.00M,-,0.05,76.90%,5.37%,97.33%,9.33B,0.46,-559.70%,2.30%,1.78,109.59%,18.25,1.26,153.60%,-3.40%,19.17,6.69%,9.23,2.49,-,-12.10%,5.16 - 24.17,6.69%,-,17.84,-34.10%,-9.60%,-3.50%,2.56,-,1.20,-4.50%,13.80%,352.03%,1.12,13800,1.80,-7.90%,-0.20%,64.08,4.33% 5.25%,Yes,0.75,77.80%,-5.00%,0.67,22.95,Yes,0.75,Oct 14 AMC,-,5.58M,23.33,2.60,3.85%,25.31%,81.08%,"1,894,059",1.63%,large,4320000000.0
aacg,12-18-2020,-,-,-0.62,18.70%,34.43M,0.85%,37.75M,-,-,0.00%,31.74M,-2.46%,-16.00M,-,-,0.04%,0.01%,7.69%,23.50M,1.61,-37.70%,-58.05%,0.03,-9.16%,1.14,1.04,-,-16.40%,-,-12.56%,0.54,2.21,25.00%,-38.80%,0.61 - 1.87,-12.56%,-,-,-48.00%,-45.00%,-36.36%,1.68,-,0.50,-22.50%,34.50%,94.44%,0.06,768,0.50,3.90%,-,49.43,6.59% 4.91%,No,0.01,154.90%,-68.30%,0.43,1.19,Yes,0.00,Nov 12 AMC,-,80.40K,1.19,-,-0.54%,1.27%,10.27%,"17,447",0.00%,small,37750000.0
aacq,12-18-2020,-,-,-,-,-,0.19%,-,-,-,-,-,5.23%,-,-,-,-,-,5.33%,-,-,-,-,0.24,-,-,-,-,-,-,-,-,-,-,-,9.57 - 10.84,4.70%,-,-,-,-,-2.58%,-,-,-,-,-,10.29%,0.17,-,-,-,-,71.58,1.95% 1.65%,No,-,-,-,2.38,10.47,Yes,-,-,-,577.65K,10.56,-,2.37%,5.67%,6.07%,"693,741",0.86%,no information,0.0
aaic,12-18-2020,-,-,-1.49,2.20%,34.66M,-1.05%,126.04M,13.57,0.28,-2.64%,32.47M,17.13%,-54.80M,-,0.04,36.30%,2.56%,32.39%,1.80M,70.02,109.80%,-10.54%,3.54,29.21%,5.81,0.65,8.63%,-2.70%,3.75,-32.50%,0.27,14.16,-,-24.60%,1.40 - 6.77,-32.50%,-,5.95,-3.90%,0.30%,-43.87%,1.84,-,-,8.00%,-,171.43%,0.15,11,-,-53.90%,-,66.89,3.33% 4.31%,Yes,3.50,149.90%,-,0.77,3.76,Yes,0.97,Nov 03 AMC,-,235.18K,3.80,2.70,2.65%,19.07%,33.83%,"91,702",1.06%,small,126040000.0
aal,12-18-2020,S&P 500,-,-13.85,0.93%,509.05M,4.33%,9.91B,-,-5.44,0.00%,502.83M,14.30%,-6293.00M,-,-4.09,45.40%,31.98%,31.41%,24.62B,0.40,25.20%,-5.11%,2.09,26.07%,-10.86,-,72.80%,-10.20%,11.36,-43.69%,13.49,1.20,-,219.80%,8.25 - 30.78,-43.69%,-,-,-0.70%,10.30%,-48.80%,1.82,-,0.60,1.40%,51.80%,91.03%,0.83,133000,0.70,-73.40%,-29.10%,51.40,3.66% 5.45%,Yes,-,-590.60%,-25.60%,0.88,16.15,Yes,-,Oct 22 BMO,-,77.04M,15.76,3.50,-4.33%,11.69%,22.97%,"34,320,494",-2.41%,large,9910000000.0
aamc,12-18-2020,-,-,-12.65,6.30%,1.63M,5.79%,38.21M,-,-,0.00%,0.61M,2.62%,-20.60M,-,-,15.40%,0.77%,9.71%,4.10M,9.32,74.20%,-12.54%,1.00,36.14%,-126.73,-,-,-6.30%,-,67.26%,18.83,1.24,-,1.70%,10.20 - 32.24,89.83%,-,6.82,-15.80%,4.50%,-26.18%,0.64,-,-,-48.20%,-,133.33%,0.79,109,-,-,-,58.39,2.68% 2.22%,No,-,45.40%,-89.10%,0.26,23.44,Yes,-,-,-,4.68K,23.80,-,3.67%,5.51%,29.28%,610,1.52%,small,38210000.0
aame,12-18-2020,-,63.64,0.03,2.80%,20.44M,0.00%,43.15M,-,-,0.00%,4.08M,-1.87%,1.20M,-,-,5.50%,0.06%,1.94%,187.70M,0.23,28.70%,0.53%,0.31,12.00%,6.26,0.34,-,0.30%,-,19.32%,0.43,4.85,-,1.00%,1.58 - 3.48,6.60%,-,9.18,-17.10%,1.10%,-39.08%,0.27,-,-,3.60%,-,34.18%,0.09,151,-,-2.90%,2.10%,47.85,2.31% 4.11%,No,0.26,210.50%,0.60%,1.41,2.10,Yes,0.26,-,34.00%,7.86K,2.12,-,-1.89%,-1.31%,5.63%,"5,647",0.95%,small,43150000.0
aan,12-18-2020,-,-,-7.35,-,33.72M,5.78%,611.01M,9.06,2.00,-,-,-5.58%,-248.30M,-,0.73,-,-,-,1.75B,0.35,-44.50%,-,0.66,-,24.26,0.75,-41.70%,-,24.50,-,12.84,1.41,-,-,16.20 - 31.00,-31.62%,-,-,-,3.50%,-39.03%,-,-,-,-,62.40%,16.67%,1.44,9000,-,-,-,-,5.19% 6.67%,Yes,0.39,-,-,0.22,18.12,Yes,0.39,Oct 29 BMO,-,1.33M,18.90,2.60,6.52%,2.80%,2.80%,"148,244",4.30%,small,611010000.0
aaoi,12-18-2020,-,-,-3.91,5.50%,22.74M,-3.26%,202.79M,-,-0.51,-3.90%,21.74M,3.49%,-80.40M,-,-0.23,48.70%,19.85%,-23.56%,231.00M,0.88,-10.50%,-7.29%,6.74,-15.60%,11.66,0.74,46.30%,-17.00%,9.25,-27.61%,1.98,4.33,13.00%,-30.50%,5.00 - 17.57,-27.61%,-,-,-68.80%,-15.60%,-51.62%,1.82,-,0.90,7.90%,21.90%,70.00%,0.39,3115,1.70,66.20%,-20.60%,49.52,4.33% 4.24%,Yes,0.57,3.60%,-34.80%,1.02,8.60,Yes,0.35,Nov 05 AMC,-,640.35K,8.50,2.90,0.99%,-0.63%,-14.93%,"334,646",-1.16%,small,202790000.0
