symbol,date,p/e,eps (ttm),insider own,shs outstand,market cap,forward p/e,eps next y,insider trans,shs float,perf month,income,peg,eps next q,inst own,short float,perf quarter,sales,p/s,eps this y,inst trans,short ratio,perf half y,book/sh,p/b,eps next y.1,roa,target price,perf year,cash/sh,p/c,eps next 5y,roe,52w range,perf ytd,dividend,p/fcf,eps past 5y,roi,52w high,beta,dividend %,quick ratio,sales past 5y,gross margin,52w low,atr,employees,current ratio,sales q/q,oper. margin,rsi (14),volatility,optionable,debt/eq,eps q/q,profit margin,rel volume,prev close,shortable,lt debt/eq,earnings,payout,cap,size,symbol,name,market cap,country,ipo year,sector,industry
a,12-18-2020,50.99,2.30,0.40%,309.00M,36.02B,28.29,4.15,-15.92%,304.40M,0.42%,719.00M,5.48,0.89,90.10%,1.06%,16.30%,5.34B,6.75,-31.60%,-1.02%,2.08,33.23%,15.77,7.44,12.56%,7.50%,121.94,37.60%,4.70,24.99,9.30%,14.80%,61.13 - 120.24,37.60%,0.78,62.10,12.00%,10.00%,-2.21%,1.06,0.66%,1.80,5.70%,53.10%,92.34%,2.43,16400,2.30,8.50%,15.80%,57.99,1.57% 1.87%,Yes,0.48,14.40%,13.50%,0.45,117.39,Yes,0.47,Nov 23 AMC,30.30%,large,36020000000.0,a,Agilent Technologies Inc. Common Stock,36183696106.0,United States,1999.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments
aa,12-18-2020,-,-2.53,0.20%,186.00M,4.32B,30.81,0.75,-0.13%,184.84M,15.33%,-469.00M,-,0.05,76.90%,5.37%,97.33%,9.33B,0.46,-559.70%,2.30%,1.78,109.59%,18.25,1.26,153.60%,-3.40%,19.17,6.69%,9.23,2.49,-,-12.10%,5.16 - 24.17,6.69%,-,17.84,-34.10%,-9.60%,-3.50%,2.56,-,1.20,-4.50%,13.80%,352.03%,1.12,13800,1.80,-7.90%,-0.20%,64.08,4.33% 5.25%,Yes,0.75,77.80%,-5.00%,0.67,22.95,Yes,0.75,Oct 14 AMC,-,large,4320000000.0,aa,Alcoa Corporation Common Stock ,4280099070.0,,2016.0,Basic Industries,Aluminum
aacg,12-18-2020,-,-0.62,18.70%,34.43M,37.75M,-,-,0.00%,31.74M,-2.46%,-16.00M,-,-,0.04%,0.01%,7.69%,23.50M,1.61,-37.70%,-58.05%,0.03,-9.16%,1.14,1.04,-,-16.40%,-,-12.56%,0.54,2.21,25.00%,-38.80%,0.61 - 1.87,-12.56%,-,-,-48.00%,-45.00%,-36.36%,1.68,-,0.50,-22.50%,34.50%,94.44%,0.06,768,0.50,3.90%,-,49.43,6.59% 4.91%,No,0.01,154.90%,-68.30%,0.43,1.19,Yes,0.00,Nov 12 AMC,-,small,37750000.0,aacg,ATA Creativity Global American Depositary Shares,36993591.0,China,,Consumer Services,Other Consumer Services
aaic,12-18-2020,-,-1.49,2.20%,34.66M,126.04M,13.57,0.28,-2.64%,32.47M,17.13%,-54.80M,-,0.04,36.30%,2.56%,32.39%,1.80M,70.02,109.80%,-10.54%,3.54,29.21%,5.81,0.65,8.63%,-2.70%,3.75,-32.50%,0.27,14.16,-,-24.60%,1.40 - 6.77,-32.50%,-,5.95,-3.90%,0.30%,-43.87%,1.84,-,-,8.00%,-,171.43%,0.15,11,-,-53.90%,-,66.89,3.33% 4.31%,Yes,3.50,149.90%,-,0.77,3.76,Yes,0.97,Nov 03 AMC,-,small,126040000.0,aaic,Arlington Asset Investment Corp Class A (new),127359487.0,United States,,Consumer Services,Real Estate Investment Trusts
aal,12-18-2020,-,-13.85,0.93%,509.05M,9.91B,-,-5.44,0.00%,502.83M,14.30%,-6293.00M,-,-4.09,45.40%,31.98%,31.41%,24.62B,0.40,25.20%,-5.11%,2.09,26.07%,-10.86,-,72.80%,-10.20%,11.36,-43.69%,13.49,1.20,-,219.80%,8.25 - 30.78,-43.69%,-,-,-0.70%,10.30%,-48.80%,1.82,-,0.60,1.40%,51.80%,91.03%,0.83,133000,0.70,-73.40%,-29.10%,51.40,3.66% 5.45%,Yes,-,-590.60%,-25.60%,0.88,16.15,Yes,-,Oct 22 BMO,-,large,9910000000.0,aal,American Airlines Group Inc. Common Stock,9772380960.0,United States,,Transportation,Air Freight/Delivery Services
aamc,12-18-2020,-,-12.65,6.30%,1.63M,38.21M,-,-,0.00%,0.61M,2.62%,-20.60M,-,-,15.40%,0.77%,9.71%,4.10M,9.32,74.20%,-12.54%,1.00,36.14%,-126.73,-,-,-6.30%,-,67.26%,18.83,1.24,-,1.70%,10.20 - 32.24,89.83%,-,6.82,-15.80%,4.50%,-26.18%,0.64,-,-,-48.20%,-,133.33%,0.79,109,-,-,-,58.39,2.68% 2.22%,No,-,45.40%,-89.10%,0.26,23.44,Yes,-,-,-,small,38210000.0,aamc,Altisource Asset Management Corp Com,38779982.0,United States,,Finance,Real Estate
aame,12-18-2020,63.64,0.03,2.80%,20.44M,43.15M,-,-,0.00%,4.08M,-1.87%,1.20M,-,-,5.50%,0.06%,1.94%,187.70M,0.23,28.70%,0.53%,0.31,12.00%,6.26,0.34,-,0.30%,-,19.32%,0.43,4.85,-,1.00%,1.58 - 3.48,6.60%,-,9.18,-17.10%,1.10%,-39.08%,0.27,-,-,3.60%,-,34.18%,0.09,151,-,-2.90%,2.10%,47.85,2.31% 4.11%,No,0.26,210.50%,0.60%,1.41,2.1,Yes,0.26,-,34.00%,small,43150000.0,aame,Atlantic American Corporation Common Stock,43890700.0,United States,,Finance,Life Insurance
aan,12-18-2020,-,-7.35,-,33.72M,611.01M,9.06,2.00,-,-,-5.58%,-248.30M,-,0.73,-,-,-,1.75B,0.35,-44.50%,-,0.66,-,24.26,0.75,-41.70%,-,24.50,-,12.84,1.41,-,-,16.20 - 31.00,-31.62%,-,-,-,3.50%,-39.03%,-,-,-,-,62.40%,16.67%,1.44,9000,-,-,-,-,5.19% 6.67%,Yes,0.39,-,-,0.22,18.12,Yes,0.39,Oct 29 BMO,-,small,611010000.0,aan,Aarons Holdings Company Inc. Common Stock ,589434982.0,United States,2020.0,Technology,Diversified Commercial Services
aaoi,12-18-2020,-,-3.91,5.50%,22.74M,202.79M,-,-0.51,-3.90%,21.74M,3.49%,-80.40M,-,-0.23,48.70%,19.85%,-23.56%,231.00M,0.88,-10.50%,-7.29%,6.74,-15.60%,11.66,0.74,46.30%,-17.00%,9.25,-27.61%,1.98,4.33,13.00%,-30.50%,5.00 - 17.57,-27.61%,-,-,-68.80%,-15.60%,-51.62%,1.82,-,0.90,7.90%,21.90%,70.00%,0.39,3115,1.70,66.20%,-20.60%,49.52,4.33% 4.24%,Yes,0.57,3.60%,-34.80%,1.02,8.6,Yes,0.35,Nov 05 AMC,-,small,202790000.0,aaoi,Applied Optoelectronics Inc. Common Stock,200582628.0,United States,2013.0,Technology,Semiconductors
aaon,12-18-2020,46.17,1.44,16.60%,52.26M,3.46B,51.15,1.30,-0.44%,41.32M,2.09%,76.10M,3.85,0.29,72.80%,9.03%,10.36%,520.40M,6.65,27.00%,1.05%,20.98,26.19%,6.60,10.07,-8.77%,18.60%,35.00,34.57%,-,-,12.00%,24.10%,40.48 - 69.41,34.57%,0.38,56.99,5.10%,18.10%,-4.19%,0.67,0.57%,2.40,5.70%,30.40%,64.28%,1.97,2290,3.70,18.80%,18.80%,62.12,3.79% 2.97%,Yes,0.02,42.00%,14.60%,0.58,66.49,Yes,0.02,Nov 05 AMC,24.00%,large,3460000000.0,aaon,AAON Inc. Common Stock,3506750627.0,United States,,Capital Goods,Industrial Machinery/Components
