symbol,name,market cap,country,ipo year,sector,industry
a,Agilent Technologies Inc. Common Stock,36183696106,United States,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments
aa,Alcoa Corporation Common Stock ,4280099070,,2016,Basic Industries,Aluminum
aacg,ATA Creativity Global American Depositary Shares,36993591,China,,Consumer Services,Other Consumer Services
aacq,Artius Acquisition Inc. Class A Common Stock,948180319,United States,2020,Finance,Business Services
aaic,Arlington Asset Investment Corp Class A (new),127359487,United States,,Consumer Services,Real Estate Investment Trusts
aal,American Airlines Group Inc. Common Stock,9772380960,United States,,Transportation,Air Freight/Delivery Services
aamc,Altisource Asset Management Corp Com,38779982,United States,,Finance,Real Estate
aame,Atlantic American Corporation Common Stock,43890700,United States,,Finance,Life Insurance
aan,Aarons Holdings Company Inc. Common Stock ,589434982,United States,2020,Technology,Diversified Commercial Services
aaoi,Applied Optoelectronics Inc. Common Stock,200582628,United States,2013,Technology,Semiconductors
aaon,AAON Inc. Common Stock,3506750627,United States,,Capital Goods,Industrial Machinery/Components
aap,Advance Auto Parts Inc Advance Auto Parts Inc W/I,10751890977,United States,,Consumer Services,Other Specialty Stores
aapl,Apple Inc. Common Stock,2.32892E+12,United States,1980,Technology,Computer Manufacturing
aat,American Assets Trust Inc. Common Stock,1712035184,United States,2011,Consumer Services,Real Estate Investment Trusts
aau,Almaden Minerals Ltd. Common Shares,57718675,Canada,2015,Basic Industries,Precious Metals
aaww,Atlas Air Worldwide Holdings NEW Common Stock,1502444416,United States,,Transportation,Transportation Services
aaxn,Axon Enterprise Inc. Common Stock,7899887820,United States,,Capital Goods,Ordnance And Accessories
ab,AllianceBernstein Holding L.P.  Units,3191072166,United States,,Finance,Investment Managers
abb,ABB Ltd Common Stock,57481184481,Switzerland,,Consumer Durables,Electrical Products
abbv,AbbVie Inc. Common Stock,1.86408E+11,United States,2012,Health Care,Major Pharmaceuticals
abc,AmerisourceBergen Corporation Common Stock,19853075408,United States,,Health Care,Other Pharmaceuticals
abcb,Ameris Bancorp Common Stock,2632301882,United States,1994,Finance,Major Banks
abcl,AbCellera Biologics Inc. Common Shares,10253474997,Canada,2020,Health Care,Major Pharmaceuticals
abcm,Abcam plc American Depositary Shares,4956954544,United Kingdom,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
abeo,Abeona Therapeutics Inc. Common Stock,156166441,United States,,Health Care,Major Pharmaceuticals
abev,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),48699691971,,2013,Consumer Non-Durables,Beverages (Production/Distribution)
abg,Asbury Automotive Group Inc Common Stock,2829768458,United States,2002,Consumer Durables,Automotive Aftermarket
abio,ARCA biopharma Inc. Common Stock,37658739,United States,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
